gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3747285158,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109204298,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.709945,-117.895278,6,,,,,,2022-03-17T13:45:11,17,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,109204298,,howdysnap,2022-03-22T04:54:15,CC_BY_NC_4_0,howdysnap,howdysnap,,,2023-01-30T15:19:15.450Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3747265861,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109145027,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus rubens,,SPECIES,Bromus rubens L.,Bromus rubens,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.520625,-120.084656,,,,,,,2022-03-12T11:11:00,12,3,2022,2703740,2703740,HUMAN_OBSERVATION,iNaturalist,Observations,109145027,,Adam J. Searcy,2022-03-27T03:41:33,CC_BY_NC_4_0,gilbertj,gilbertj,,,2023-01-30T15:22:14.217Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3747257310,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1433936,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.38367,-117.974713,10043,,,,,,2015-04-09T00:00:00,9,4,2015,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,1433936,,Anne,2015-04-28T16:06:03,CC_BY_NC_4_0,Anne,Anne,,,2023-01-30T14:53:51.757Z,,CONTINENT_DERIVED_FROM_COORDINATES
3747087660,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109025327,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.839508,-117.908967,4,,,,,,2022-03-19T14:36:29,19,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,109025327,,Matt Berger,2022-03-20T06:37:52,CC_BY_4_0,Matt Berger,Matt Berger,,,2023-01-30T15:01:16.759Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3747053084,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109175960,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.380525,-120.133003,,,,,,,2022-03-17T12:05:00,17,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,109175960,,gilbertj,2022-03-21T21:40:04,CC_BY_NC_4_0,gilbertj,gilbertj,,,2023-01-30T15:00:39.677Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3743236581,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/108409692,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.127495,-118.807433,10,,,,,,2022-03-11T14:20:20,11,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,108409692,,nancyb,2022-03-12T03:57:00,CC_BY_NC_4_0,nancyb,nancyb,,,2023-01-30T15:00:37.167Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3743207662,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/108469101,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.327576,-118.724631,15,,,,,,2022-03-10T18:28:00,10,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,108469101,,Jeff Bisbee,2022-03-13T00:02:01,CC_BY_NC_4_0,Jeff Bisbee,Jeff Bisbee,,,2023-01-30T15:22:18.365Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3743061572,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/108407262,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.117693,-117.102328,1752,,,,,,2022-03-05T11:00:00,5,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,108407262,,Daniel,2022-03-12T07:22:46,CC_BY_NC_4_0,Quiver Watts,Quiver Watts,,,2023-01-30T15:10:12.529Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3712496651,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/107999084,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.712022,-117.916306,6,,,,,,2022-03-02T11:37:00,2,3,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,107999084,,Matt Berger,2022-03-06T02:59:20,CC_BY_4_0,Matt Berger,Matt Berger,,,2023-01-30T15:10:13.807Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3712447440,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/103036572,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus rubens,,SPECIES,Bromus rubens L.,Bromus rubens,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.21894,-116.728088,334,,,,,,2021-12-08T12:00:00,8,12,2021,2703740,2703740,HUMAN_OBSERVATION,iNaturalist,Observations,103036572,,Corey Lange,2021-12-22T03:21:25,CC_BY_NC_4_0,Ethan,Ethan,,,2023-01-30T15:21:05.101Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3705488268,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/107851729,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia tanacetifolia,,SPECIES,Phacelia tanacetifolia Benth.,Phacelia tanacetifolia,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.458497,-118.827247,4,,,,,,2022-02-17T16:39:00,17,2,2022,2928226,2928226,HUMAN_OBSERVATION,iNaturalist,Observations,107851729,,Matt Berger,2022-03-03T22:53:40,CC_BY_4_0,Matt Berger,Matt Berger,,,2023-01-30T15:21:20.988Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3698313116,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/107237601,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.462487,-118.832633,11,,,,,,2022-02-19T13:33:19,19,2,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,107237601,,Sylvia Haultain,2022-02-22T05:55:03,CC_BY_NC_4_0,Sylvia Haultain,Sylvia Haultain,,,2023-01-30T15:01:16.790Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3466124638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/105290184,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus rubens,,SPECIES,Bromus rubens L.,Bromus rubens,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.238003,-116.716172,4,,,,,,2022-01-20T12:37:43,20,1,2022,2703740,2703740,HUMAN_OBSERVATION,iNaturalist,Observations,105290184,,Carolyn Mills,2022-01-29T20:50:15,CC_BY_NC_4_0,rtwilkens,rtwilkens,,,2023-01-30T15:01:03.239Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3461012140,f56df26e-73f5-4d37-bfed-3d46c0834e82,41144e43-f040-4f53-b7cf-9b5c4e53fd71,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia tanacetifolia,,SPECIES,Phacelia tanacetifolia Benth.,Phacelia tanacetifolia,Benth.,US,North Carrizo Ecological Reserve. Syncline Hill and adjacent areas of Section 31,California,PRESENT,,d16f32bb-204f-4c07-95eb-6673e90225e9,35.35869,-120.09351,,,700,30,,,,,,,2928226,2928226,PRESERVED_SPECIMEN,OBI,,,36580,,,CC_BY_NC_4_0,,David Keil; George Butterworth,,,,,
3461012135,f56df26e-73f5-4d37-bfed-3d46c0834e82,96350e59-0a75-4f33-aa54-0a7cf3df7b35,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus rubens,,SPECIES,Bromus rubens L.,Bromus rubens,L.,US,North Carrizo Ecological Reserve. Syncline Hill and adjacent areas of Section 31,California,PRESENT,,d16f32bb-204f-4c07-95eb-6673e90225e9,35.35869,-120.09351,,,700,30,,,,,,,2703740,2703740,PRESERVED_SPECIMEN,OBI,,,36575,,,CC_BY_NC_4_0,,David Keil; George Butterworth,,,,,
